District,Year,Season,Crop,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall,Humidity,N,P,K,pH,Organic_Carbon,NDVI_Peak,Yield,Disease_Occurred
Amreli,2010,Whole Year,Onion,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,27.39,0
Amreli,2010,Whole Year,Sugarcane,26.97912329,8.09,46.2,952.5652274,59.55583562,31.21313636,105.9199545,146.7806818,6.118598929,0.565495395,0.665865475,70,0
Anand,2010,Kharif,Arhar/Tur,27.79991781,8.71,48.47,1336.786458,56.33594521,31.16763636,62.70145455,30.04068182,6.030531695,0.621186329,0.748290647,1,0
Anand,2010,Kharif,Bajra,27.79991781,8.71,48.47,1336.786458,56.33594521,31.62913636,49.88345455,30.00168182,6.704581177,0.628099321,0.748290647,1.29,0
Anand,2010,Kharif,Castor seed,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.93,0
Anand,2010,Kharif,Cotton(lint),27.79991781,8.71,48.47,1336.786458,56.33594521,94.24363636,48.73295455,29.56618182,6.757557095,0.846190553,0.748290647,4.36,0
Anand,2010,Kharif,Jowar,27.79991781,8.71,48.47,1336.786458,56.33594521,68.23713636,50.16295455,29.71568182,6.323691342,0.756792772,0.748290647,1,0
Anand,2010,Kharif,Maize,27.79991781,8.71,48.47,1336.786458,56.33594521,68.23713636,50.16295455,29.71568182,6.323691342,0.756792772,0.748290647,1,0
Anand,2010,Kharif,Moong(Green Gram),27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,0.4,0
Anand,2010,Kharif,Other Kharif pulses,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,0.25,0
Anand,2010,Kharif,Rice,27.79991781,8.71,48.47,1336.786458,56.33594521,69.62163636,49.60395455,42.76768182,6.440874122,0.763982177,0.748290647,2.11,0
Anand,2010,Kharif,Sesamum,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,0.4,0
Anand,2010,Kharif,Tobacco,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,2,0
Anand,2010,Kharif,Urad,27.79991781,8.71,48.47,1336.786458,56.33594521,43.70613636,62.53245455,29.35818182,6.901386582,0.666432713,0.748290647,0.5,0
Anand,2010,Kharif,other oilseeds,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,0.42,0
Anand,2010,Rabi,Gram,27.79991781,8.71,48.47,1336.786458,56.33594521,43.70613636,62.53245455,29.35818182,6.901386582,0.666432713,0.748290647,0.65,0
Anand,2010,Rabi,Jowar,27.79991781,8.71,48.47,1336.786458,56.33594521,68.23713636,50.16295455,29.71568182,6.323691342,0.756792772,0.748290647,1,0
Anand,2010,Rabi,Maize,27.79991781,8.71,48.47,1336.786458,56.33594521,68.23713636,50.16295455,29.71568182,6.323691342,0.756792772,0.748290647,1.97,0
Anand,2010,Rabi,Other Cereals,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.17,0
